,transactionIndex,burnRateWei,blockNumber,timestamp
268,148.0,0.0,13427397,1634365612
274,199.0,33300000000000.0,13440126,1634537198
278,91.0,1000000000000.0,13452903,1634709424
279,152.0,30000000000000.0,13477311,1635039519
280,153.0,30000000000000.0,13477311,1635039519
281,338.0,32999999999999.0,13477311,1635039519
282,74.0,40000000000000.0,13477811,1635046455
283,320.0,21000000000000.0,13478107,1635050193
284,157.0,30200000000000.0,13478141,1635050723
285,282.0,23000000000000.0,13478175,1635051369
286,316.0,35099999999999.0,13478191,1635051502
287,251.0,30010000000000.0,13479403,1635067990
288,237.0,18010000000000.0,13479512,1635069598
289,60.0,50000000000000.0,13479735,1635072580
290,61.0,50000000000000.0,13479735,1635072580
291,197.0,25500000000000.0,13480741,1635085950
292,320.0,12000000000000.0,13482382,1635108666
293,157.0,61000000000000.0,13483591,1635124578
294,144.0,30010000000000.0,13485856,1635154965
295,32.0,21000000000000.0,13486269,1635160515
296,116.0,12100000000000.0,13486659,1635165692
297,116.0,11000000000000.0,13499383,1635337588
298,51.0,30500000000000.0,13534100,1635808747
299,51.0,40010000000000.0,13560202,1636163633
300,54.0,55000000000000.0,13561037,1636174693
301,77.0,21100000000000.0,13561577,1636182259
302,47.0,55000000000000.0,13563072,1636203176
303,248.0,15000000000000.0,13574484,1636356603
304,64.0,0.0,13574676,1636359363
305,12.0,25000000000000.0,13576043,1636378130
306,159.0,11799999999999.0,13612870,1636878366
307,121.0,95000000000000.0,13623805,1637026604
308,159.0,0.0,13636681,1637202306
309,338.0,0.0,13636744,1637203180
310,339.0,0.0,13636744,1637203180
311,31.0,0.0,13636749,1637203269
312,107.0,20110000000000.0,13663690,1637573206
313,191.0,50000000000000.0,13674003,1637713229
314,100.0,50000000000000.0,13674030,1637713633
315,209.0,26000000000000.0,13676920,1637752656
316,75.0,30000000000000.0,13680188,1637797963
317,252.0,30000000000000.0,13681315,1637813059
318,253.0,30000000000000.0,13681315,1637813059
319,254.0,30000000000000.0,13681315,1637813059
320,160.0,20200000000000.0,13681339,1637813402
321,233.0,32010000000000.0,13702634,1638106064
322,212.0,33000000000000.0,13702647,1638106263
323,211.0,20000000000000.0,13703329,1638115454
324,152.0,30010000000000.0,13703348,1638115733
325,74.0,30020000000000.0,13708264,1638184093
326,95.0,50499999999999.0,13708570,1638188319
327,301.0,50100000000000.0,13709187,1638196923
328,393.0,30000000000000.0,13721907,1638373184
329,199.0,70000000000000.0,13749060,1638749246
330,320.0,50200000000000.0,13751769,1638786727
331,365.0,0.0,13771540,1639059946
332,19.0,0.0,13771900,1639064957
333,404.0,31000000000000.0,13776779,1639131225
334,323.0,0.0,13778194,1639149961
335,45.0,22000000000000.0,13781075,1639188651
336,212.0,30100000000000.0,13781077,1639188662
337,204.0,95500000000000.0,13781081,1639188765
338,33.0,21000000000000.0,13781099,1639188998
339,16.0,55500000000000.0,13781179,1639190242
340,254.0,20000000000000.0,13781333,1639191895
341,96.0,10000000000000.0,13783138,1639216171
342,302.0,22100000000000.0,13783163,1639216525
343,358.0,30200000000000.0,13783189,1639216837
344,86.0,100000000000000.0,13790131,1639309944
345,360.0,21000000000000.0,13791064,1639322207
346,258.0,16000000000000.0,13791068,1639322326
347,138.0,20300000000000.0,13791104,1639322909
348,76.0,21100000000000.0,13791107,1639322954
349,217.0,0.0,13802570,1639475333
350,229.0,480000000000.0,13802629,1639476058
351,146.0,20000000000000.0,13826752,1639799221
352,198.0,30100000000000.0,13826755,1639799248
353,243.0,10000000000.0,13828558,1639822635
355,86.0,101000000000000.0,13842311,1640007169
356,303.0,18000000000000.0,13853137,1640151222
357,260.0,17000000000000.0,13853147,1640151341
358,47.0,30200000000000.0,13855067,1640176901
359,55.0,10000000000000.0,13874697,1640440020
360,9.0,12000000000000.0,13880083,1640512121
361,142.0,31100000000000.0,13880524,1640518084
362,78.0,35099999999999.0,13881391,1640529268
363,65.0,0.0,13982281,1641878271
364,235.0,50600000000000.0,14016259,1642332652
365,51.0,70999999999999.0,14016296,1642332980
366,114.0,1350000000000.0,14085947,1643262765
367,177.0,0.0,14091866,1643341668
368,239.0,1000000000000.0,14147017,1644077693
369,153.0,25200000000000.0,14201315,1644802795
370,328.0,1100000000000.0,14248442,1645433598
