,logIndex,transactionIndex,transactionHash,blockNumber,poolId,newOwner,previousOwner,slotId,gasUsed,gasPrice,ethSpent,depositSLP,rewardsFVTForSession
357,441.0,260.0,"b""\xf9[\x06\xf1's\xf9\x1b\xb8\x85\xa9\x17\x03\x95\xbd\xd0\x9d\xfeV\x10 \x0fG\x84L\xd74\x16\x0cO\x10\xa8""",13853147,1.0,0xfFaCEf4fA1f0841ea479B168e734C1D5aeb41766,0x28de46689b899af843Ec549199AD70a75ad4d960,3.0,214784.0,45291427082.0,0.009727873874380288,449.0152026399334,2210.22354157074
358,81.0,47.0,b'f\xee\xa0C\x84\xa6\xd8\xde7M\x0c\xcd+@\xbc/\x9b\xb2\x98wj\xb3\xf3W\xfc\xec\x1d\xff\x97\xb3\xd6\x9c',13855067,1.0,0x28de46689b899af843Ec549199AD70a75ad4d960,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,38.0,233860.0,39182384919.0,0.00916319253715734,282.0,2565.19551366456
359,116.0,55.0,"b""M\xed\xd7\x1c5\xba\x96\xb1Q;\x8a\xb1\xbd\x96'4\x03X\x8eK\xd1\xf7\xb2\x17\xfb\\k\x0c\x00`\x87A""",13874697,1.0,0xD2eadB71FFA6B638c059051b1A3C2157c9cD7A5C,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,49.0,231884.0,41798501957.0,0.009692403827796988,492.84886470829895,8872.810084931401
360,43.0,9.0,b'\xbe\xf6\t\xb1@\xe3c\x9a\x14\xea\x13Jx=\xd0\x1e3\xd3\x8b\xd0\xb9\xae\xa7\xeb]{.\xb8a\x14\xb1P',13880083,1.0,0x1711bc52bf7e0494325799717fe640F1924617B7,0x28de46689b899af843Ec549199AD70a75ad4d960,30.0,221338.0,39784086909.0,0.008805730228264242,418.8634545940106,18265.1241988311
361,300.0,142.0,b'c\xca\xf5\xb9\xbfjR\x95\xc9q\xde\xa7R;\x93\xd7o|CL\xff\xb2\xad\x08\x01\xcb\xca\x8f\x07P :',13880524,1.0,0x28de46689b899af843Ec549199AD70a75ad4d960,0xE3b2F16a52671AF6a5d498D3CfDcCCdC2Ad0D58f,47.0,240450.0,36079276199.0,0.00867526196204955,280.0,20958.5816273244
362,138.0,78.0,"b""^~|>&\x10,\x1a\xf0#=\x1e\xcc\xe0C\xa2\xcc\x96\x0e\xe5\x1e\xa3P\xf8\xc2(\x95I\xa0\x84's""",13881391,1.0,0xE3b2F16a52671AF6a5d498D3CfDcCCdC2Ad0D58f,0xD2eadB71FFA6B638c059051b1A3C2157c9cD7A5C,10.0,223386.0,43100000000.0,0.0096279366,244.70000000000002,40043.99164112077
363,117.0,65.0,"b""mi\xd7\x15\x0f\xe5\xd0\x95\xce`\xc8\r2\xa8w\x94N\xa9'\x8d\xd9{\xe7\xdbf\x12}\xd6\xd6\xf4>\xd8""",13982281,1.0,0x0000000000000000000000000000000000000000,0x0813c1b94d3b2255Dc8e3CC369DB41e1b98D8CA0,6.0,213038.0,172908469573.0,0.036836074540892774,0.0,45663.6337619085
364,507.0,235.0,"b'""*y+\x07vM\x17\xdb\x9a54\x90\x84\xec>\x1c)mu\xbc\x89\xa8\x90\xf2\xf9\xa0\x0c\xdb\xb7Q+'",14016259,1.0,0xD2eadB71FFA6B638c059051b1A3C2157c9cD7A5C,0xE3b2F16a52671AF6a5d498D3CfDcCCdC2Ad0D58f,48.0,223362.0,70000000000.0,0.01563534,243.99772000000002,62042.53613518686
365,73.0,51.0,"b""\xfc\xa4\xb7\xff\x0fn\x14\xad$\xc4en\x88\x15w\x01\xdd+'vEj\xd5\x99\x8f\xae _\xbd\xfd\r\xc4""",14016296,1.0,0xE3b2F16a52671AF6a5d498D3CfDcCCdC2Ad0D58f,0x0000000000000000000000000000000000000000,6.0,140575.0,72472422239.0,0.010187810756247425,205.4,0.0
366,176.0,114.0,"b'M}\xa5\x14\x04\xf7\x830D\x9a,\x0f\x06\x08\xd2\t\xb9\x92\xcc\xa3\tL\x7f\xd4\x16\x0f\x12bq\xf2f5'",14085947,1.0,0x151D712669AdEBAA73624e6F735c157b6a0F5a5b,0x0788373603522a79fCC5710910C20067f64BAD17,5.0,274650.0,73131471294.0,0.0200855585908971,935.0000000000001,163961.7842939259
367,322.0,177.0,b'K\xc1V\xbcAG\xda\x84\xa8\x90\xec\x12\xbf\xc5XL\x98\x91\x07:>?D\xef^JU2\xbf\xbc\xc0b',14091866,1.0,0x0000000000000000000000000000000000000000,0x151D712669AdEBAA73624e6F735c157b6a0F5a5b,5.0,240648.0,113099668193.0,0.027217208951309064,0.0,2877.3512306817
368,435.0,239.0,b'\xef\xc6c\x1f\x13iZ\x9d\x05#\xceX\xa6\xde\xc9\x924I\xe0\xe1\xa2\rp\xd7\xdb\x99\x14\xb0\xd6h~\xec',14147017,1.0,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,0x0000000000000000000000000000000000000000,5.0,140534.0,53000000000.0,0.007448302,393.6467400400001,0.0
369,371.0,153.0,"b'\xcfe\x9d\xeb<!\x1bz\x95T\x05\xf3B\xf9P,1]\xce\x1f\x13\xbbY\xda\xd0\xb4_#\xa88\x0bh'",14201315,1.0,0x99CCF0db7783927E9a1Ad324e99b6964C587024A,0x28de46689b899af843Ec549199AD70a75ad4d960,4.0,231860.0,43782880859.0,0.01015149875596774,250.70000000000002,174658.3477139138
370,371.0,328.0,b'\x97\xbd\xde!I\r\x17\xdf\xdd\xcb\xc8\xa4p\xd9\x84_\xc1\xe3rNZM\r\xe0(\x0fJ8\x92$\xf3U',14248442,1.0,0x0788373603522a79fCC5710910C20067f64BAD17,0xA25207Bb8f8EC2423E2ddf2686A0CD2048352f3E,5.0,221314.0,40591615028.0,0.008983492688306792,720.0821751084496,20083.394270628003
